Variable,Min,Max,Mean,Std Dev,Moran's I,Sig.,Mean |coef|,Eff. cov. (%)
Intercept,-0.3108,0.3758,0.0459,0.1205,0.9632,***,0.1003,N/A
Avg distance to basic goods,-0.2251,0.3252,0.0512,0.1111,0.9768,***,0.0964,97.4
Share EU-born (non-Belgian),-0.1285,1.0280,0.3995,0.1894,0.9646,***,0.4015,98.4
Share aged 30-44,-0.1857,0.5827,0.3479,0.1642,0.9833,***,0.3516,99.2
Share aged 65+,0.3216,0.8138,0.6696,0.1062,0.9749,***,0.6696,100.0
Share dwellings with private garden,-0.6464,-0.3380,-0.4523,0.0767,0.9584,***,0.4523,100.0
Median net taxable income,-0.4483,0.0740,-0.2950,0.0936,0.9583,***,0.2956,99.5
Population growth rate,-0.2972,0.1253,-0.0764,0.0605,0.9687,***,0.0789,99.2
Condition Number,3.8879,8.1623,5.5198,0.7568,N/A,N/A,5.5198,N/A
Local R²,0.2508,0.6295,0.5799,0.0578,N/A,N/A,5.5198,N/A
